#{"t_start": 1615384293.0759432, "env_id": "calib_env-v0"}
r,l,t
-432.806973,5,0.032113
-172.867951,3,0.046318
-231.515873,3,0.059397
-323.007629,4,0.074814
-337.207864,6,0.118989
-131.386718,2,0.12737
-477.672295,7,0.152781
-150.045915,1,0.157889
-377.08209,5,0.175309
-168.981527,3,0.187238
-485.16079,7,0.228996
-1005.530756,15,0.286981
-455.687763,6,0.307811
-238.795,3,0.318614
-178.266842,2,0.32649
-113.15413,1,0.331268
-158.270993,3,0.342696
-163.175546,2,0.350849
-127.19129,2,0.35934
-110.94404,1,0.370116
-105.733974,1,0.374543
-109.917802,1,0.379043
-103.743575,1,0.383805
-200.700634,2,0.391433
-298.98374,4,0.405181
-182.182418,2,0.41268
-105.285728,1,0.41705
-387.139112,5,0.434881
-104.046022,1,0.439707
-110.501201,1,0.444363
-105.434993,1,0.464924
-163.567285,2,0.472648
-110.219964,1,0.477122
-175.820501,2,0.484961
-248.603108,3,0.495352
-163.417476,3,0.505551
-104.618632,1,0.509831
-222.408676,2,0.517072
-575.223584,8,0.559606
-123.498039,1,0.563868
-202.173046,3,0.575103
-195.695222,3,0.585383
-255.812071,4,0.598946
-386.412735,6,0.617958
-205.48588,2,0.631368
-126.807878,1,0.63594
-105.499497,1,0.640263
-625.096068,9,0.671211
-445.920489,9,0.706552
-125.675879,1,0.711542
-148.577443,2,0.719177
-305.675221,4,0.732471
-404.439158,8,0.758357
-105.437381,1,0.763039
-371.556581,4,0.783913
-200.957517,2,0.792165
-226.602007,3,0.802523
-124.363273,2,0.809711
-662.804799,11,0.845265
-298.835888,4,0.865581
-201.255983,2,0.873727
-150.990034,2,0.881017
-147.309359,2,0.888906
-163.396528,2,0.896186
-675.967902,11,0.938598
-128.005033,1,0.943259
-341.417165,5,0.960074
-108.20281,1,0.964379
-394.703384,5,0.981812
-111.074891,1,0.986279
-423.416162,7,1.016388
-486.883422,7,1.038752
-250.268263,2,1.046693
-168.604391,2,1.054173
-589.851873,9,1.091337
-165.603585,2,1.098674
-103.058017,1,1.103102
-320.486572,5,1.119681
-520.41101,8,1.146379
-233.485172,2,1.159921
-403.205409,5,1.176992
-150.110093,2,1.184604
-310.687234,4,1.198446
-138.359046,1,1.202851
-134.789449,1,1.207089
-107.744556,1,1.211329
-212.76784,2,1.218595
-365.983981,6,1.245427
-171.273318,2,1.253088
-228.098882,3,1.263775
-248.639691,3,1.274465
-418.221667,8,1.301182
-107.537007,1,1.305519
-297.855693,4,1.324905
-134.672849,2,1.332116
-249.976701,4,1.345207
-112.144162,1,1.350301
-105.14617,1,1.35485
-374.648386,5,1.371708
-183.982238,2,1.378954
-521.636031,9,1.414104
-189.253239,2,1.421333
-103.220006,1,1.425591
-100.696493,1,1.429815
-149.297631,2,1.437057
-106.761573,1,1.441249
-425.315899,5,1.459561
-252.574623,5,1.481806
-146.389432,1,1.486624
-262.188045,4,1.500036
-175.730911,2,1.507495
-617.690634,10,1.545557
-104.746191,1,1.550168
-201.190145,4,1.564519
-413.005217,6,1.584314
-134.908144,2,1.592026
-742.531114,10,1.630424
-470.363936,6,1.650144
-171.410486,2,1.657374
-328.41239,4,1.671784
-171.045977,2,1.679228
-328.553857,4,1.699168
-103.23302,1,1.703659
-145.300003,2,1.711381
-141.047793,2,1.718927
-532.942237,8,1.744021
-266.564678,4,1.757747
-830.851932,12,1.805065
-121.32371,1,1.809852
-123.792174,1,1.814065
-259.005345,3,1.824493
-171.218893,2,1.831746
-728.253082,12,1.875551
-378.307385,8,1.901479
-332.048175,6,1.927854
-356.570655,5,1.944316
-119.195832,2,1.951955
-345.470185,6,1.971426
-264.816717,3,1.988754
-237.850491,2,1.996228
-237.320763,4,2.010836
-475.566511,5,2.02746
-105.162031,1,2.03235
-387.513368,5,2.051394
-253.040324,3,2.068928
-385.570767,6,2.088921
-191.191247,3,2.099239
-310.647978,5,2.115937
-280.308442,4,2.129945
-225.448146,3,2.147757
-194.696131,2,2.155394
-263.563805,3,2.165604
-276.576544,3,2.176002
-202.920111,2,2.184076
-693.243227,9,2.219362
-206.349251,2,2.227146
-165.652409,2,2.234495
-103.645861,1,2.238801
-227.318876,2,2.246021
-123.610729,2,2.254189
-149.897856,1,2.258568
-427.963663,6,2.277823
-112.952658,1,2.282062
-103.863366,1,2.286355
-268.305046,4,2.306455
-161.58963,2,2.314074
-198.26683,3,2.324491
-713.996082,10,2.357948
-377.787854,5,2.381189
-216.350998,2,2.388665
-153.265215,2,2.395886
-288.486069,4,2.409617
-196.105384,4,2.423059
-536.355432,7,2.453199
-137.243047,2,2.461254
-383.082382,6,2.481637
-264.156929,4,2.495055
-649.391816,8,2.527239
-1082.379757,16,2.578829
-104.800347,1,2.583242
-236.454626,3,2.600049
-108.145978,1,2.604597
-105.909651,1,2.608904
-103.025838,1,2.613338
-233.157754,3,2.62376
-200.322345,2,2.631427
-100.623374,1,2.635705
-135.192862,2,2.643399
-284.931603,4,2.657124
-131.101626,2,2.664608
-101.885737,1,2.66889
-110.429238,1,2.680732
-101.819836,1,2.685262
-105.224397,1,2.690104
-103.986663,1,2.694336
-141.952246,2,2.701832
-228.066986,3,2.712108
-125.626861,1,2.7167
-265.790555,3,2.727058
-379.292377,5,2.743721
-187.146849,2,2.751095
-107.675621,1,2.761637
-300.853312,3,2.772079
-410.279255,6,2.792718
-193.244878,2,2.800084
-197.93465,2,2.807404
-431.13039,5,2.824009
-287.656134,6,2.850003
-332.283558,4,2.863927
-114.312008,1,2.868197
-105.452011,1,2.8724
-121.712491,1,2.876615
-109.704509,1,2.880773
-211.303544,2,2.887939
-108.802237,1,2.892204
-123.773066,1,2.896765
-144.025049,2,2.904722
-207.628396,3,2.921305
-485.946092,6,2.941334
-427.441949,6,2.961917
-200.183582,2,2.969898
-209.930988,2,2.977347
-101.531371,1,2.981521
-145.66931,2,2.995142
-221.768477,4,3.009493
-193.309252,3,3.019919
-693.230551,9,3.048861
-160.917434,2,3.056642
-108.872989,1,3.060849
-269.734714,3,3.077425
-236.80293,3,3.088037
-769.269357,11,3.123936
-241.611971,3,3.134824
-409.391707,5,3.157651
-346.496865,5,3.174537
-408.818116,5,3.19128
-443.919442,5,3.207382
-116.212277,1,3.217959
-337.635521,5,3.235329
-139.271592,1,3.239955
-411.91962,5,3.256637
-107.57606,1,3.261389
-301.15329,3,3.272356
-173.491522,2,3.280088
-160.315351,2,3.287544
-194.561861,2,3.301082
-110.853952,1,3.305319
-634.381568,11,3.340219
-138.018144,2,3.347467
