#{"t_start": 1616940783.2368326, "env_id": "calib_env-v0"}
r,l,t
-29.477442,500,7.445193
2.522709,500,22.879991
0.624967,500,35.41645
6.793023,500,48.350519
2.258727,500,59.534145
5.631405,500,71.429241
0.904421,500,88.90613
7.367162,500,106.037092
1.98157,500,122.989825
2.557398,500,139.627838
3.989503,500,151.684049
4.882369,500,164.496582
0.676576,500,179.476895
6.868912,500,190.880699
1.424129,500,202.56544
5.742398,500,214.120627
0.972229,500,226.446727
7.37962,500,237.959509
1.98157,500,250.051632
2.557398,500,262.892387
