,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,0.012857605588789305,2021-05-03 16:38:58.541778,2021-05-03 16:44:12.595329,0 days 00:05:14.053551,64,10000,0.999,0,-0.70060772437556,0.00823522968316834,medium,0.005,300,COMPLETE
1,1,0.0343942233701075,2021-05-03 16:44:12.599261,2021-05-03 16:49:32.497948,0 days 00:05:19.898687,64,10000,0.999,0,-0.4912567571362412,0.008658015702976259,medium,0.005,300,COMPLETE
2,2,0.03752291021842441,2021-05-03 16:49:32.501828,2021-05-03 16:51:19.813860,0 days 00:01:47.312032,128,10000,0.9999,10000,0.905672833493278,0.4108768143172664,medium,0.05,10,COMPLETE
3,3,0.00909316315842564,2021-05-03 16:51:19.817674,2021-05-03 16:53:04.942590,0 days 00:01:45.124916,128,100000,0.9999,10000,-3.7641780988935407,0.6869909011918769,small,0.05,10,PRUNED
4,4,0.009157302122642399,2021-05-03 16:53:04.942783,2021-05-03 16:54:52.346534,0 days 00:01:47.403751,128,1000000,0.995,20000,0.9839500957626797,1.2158881135553718e-05,big,0.01,100,PRUNED
5,5,0.013374879488123508,2021-05-03 16:54:52.346732,2021-05-03 16:56:38.763963,0 days 00:01:46.417231,2048,10000,0.9,10000,-3.0995395126947862,0.8109898078324382,medium,0.001,10,PRUNED
6,6,0.01806335583696096,2021-05-03 16:56:38.764162,2021-05-03 17:01:19.643915,0 days 00:04:40.879753,16,1000000,0.99,1000,0.8702450173870873,2.8993871660379453e-05,big,0.05,1,PRUNED
7,7,0.020098366563035486,2021-05-03 17:01:19.644127,2021-05-03 17:03:05.074643,0 days 00:01:45.430516,256,100000,0.98,10000,-2.156002937922742,0.08440556484120137,small,0.02,10,PRUNED
8,8,0.007653741984481599,2021-05-03 17:03:05.074837,2021-05-03 17:14:20.986824,0 days 00:11:15.911987,1024,10000,0.95,1000,0.05701427737353826,0.00039870978333770283,medium,0.05,1,PRUNED
9,9,0.017993237572661844,2021-05-03 17:14:20.987026,2021-05-03 17:16:09.159959,0 days 00:01:48.172933,32,10000,0.9999,10000,-1.9848292894767747,0.11029187153391695,medium,0.01,10,PRUNED
10,10,0.00980359818800377,2021-05-03 17:16:09.160157,2021-05-03 17:17:55.923471,0 days 00:01:46.763314,512,10000,0.9999,20000,0.5154196231918564,0.0003958713673872189,big,0.001,100,PRUNED
11,11,0.018469905729810835,2021-05-03 17:17:55.923673,2021-05-03 17:23:03.134689,0 days 00:05:07.211016,64,10000,0.999,0,-0.5546875229216801,0.014737825929457313,medium,0.005,300,PRUNED
12,12,0.00986432637771086,2021-05-03 17:23:03.134889,2021-05-03 17:28:30.257445,0 days 00:05:27.122556,128,10000,0.999,0,-0.9699272290855585,0.0010686727866695044,medium,0.005,300,PRUNED
13,13,0.036573688915205,2021-05-03 17:28:30.257681,2021-05-03 17:33:30.812123,0 days 00:05:00.554442,64,10000,0.9999,0,-0.020455469975707463,0.09735909807503985,medium,0.05,300,COMPLETE
14,14,0.06274199692134741,2021-05-03 17:33:30.816008,2021-05-03 17:38:39.616867,0 days 00:05:08.800859,64,10000,0.9999,0,0.22908315193577522,0.13966034358832344,medium,0.05,300,PRUNED
15,15,0.021823308159573285,2021-05-03 17:38:39.617079,2021-05-03 17:40:24.817124,0 days 00:01:45.200045,32,100000,0.9999,10000,0.06503365562202335,0.35364537067517277,small,0.05,10,PRUNED
16,16,0.10964739285031606,2021-05-03 17:40:24.817316,2021-05-03 17:53:29.844252,0 days 00:13:05.026936,1024,1000000,0.9999,0,0.9837722367608251,0.042187336379855604,medium,0.05,300,PRUNED
17,17,0.09626025932846696,2021-05-03 17:53:29.844469,2021-05-03 17:55:22.021655,0 days 00:01:52.177186,256,10000,0.95,20000,-1.3779002720129623,0.9303838143249146,medium,0.02,1,COMPLETE
18,18,0.036226012931662895,2021-05-03 17:55:22.025493,2021-05-03 17:57:15.053408,0 days 00:01:53.027915,256,10000,0.95,20000,-1.4925383424633822,0.9735554694196812,medium,0.02,1,PRUNED
19,19,0.007277836425029378,2021-05-03 17:57:15.053634,2021-05-03 17:59:06.824809,0 days 00:01:51.771175,256,100000,0.95,20000,-3.125367972372387,0.2932726596617609,medium,0.02,1,PRUNED
20,20,0.023440137802372626,2021-05-03 17:59:06.825013,2021-05-03 18:01:00.091746,0 days 00:01:53.266733,16,1000000,0.95,20000,-1.3494966858186317,0.02516384836703416,big,0.02,1,PRUNED
21,21,0.024917105834965998,2021-05-03 18:01:00.091948,2021-05-03 18:02:52.138826,0 days 00:01:52.046878,2048,10000,0.98,10000,-2.119636128920475,0.9129097992370355,medium,0.05,1,PRUNED
22,22,0.016736641026426812,2021-05-03 18:02:52.139052,2021-05-03 18:08:07.853440,0 days 00:05:15.714388,128,10000,0.995,1000,0.5025406588081053,0.2549253473672,medium,0.02,10,PRUNED
23,23,0.02636037055193132,2021-05-03 18:08:07.853672,2021-05-03 18:09:53.292745,0 days 00:01:45.439073,256,10000,0.99,20000,-0.22601086263252235,0.056533699916284035,medium,0.05,100,PRUNED
24,24,0.011128444590327172,2021-05-03 18:09:53.292953,2021-05-03 18:11:40.482204,0 days 00:01:47.189251,512,10000,0.9,20000,-1.0031713657714172,0.3706274436868186,medium,0.05,10,PRUNED
25,25,0.053337017398560956,2021-05-03 18:11:40.482411,2021-05-03 18:15:30.627859,0 days 00:03:50.145448,128,10000,0.9999,0,0.5975528568638384,0.0029109772990755013,small,0.01,1,PRUNED
26,26,0.008200008333138352,2021-05-03 18:15:30.628087,2021-05-03 18:17:27.415510,0 days 00:01:56.787423,256,10000,0.95,10000,-2.6582291094691577,0.1704220305880839,medium,0.001,300,PRUNED
27,27,0.01080657879505723,2021-05-03 18:17:27.415728,2021-05-03 18:19:20.254998,0 days 00:01:52.839270,64,10000,0.9999,10000,-1.0662527757813938,0.9910212639947675,medium,0.02,1,PRUNED
28,28,0.009385119038540838,2021-05-03 18:19:20.255197,2021-05-03 18:21:06.348905,0 days 00:01:46.093708,64,10000,0.99,20000,-0.31047249739539984,0.03297867077484837,medium,0.05,10,PRUNED
29,29,0.00911027342636277,2021-05-03 18:21:06.349111,2021-05-03 18:42:07.893500,0 days 00:21:01.544389,2048,10000,0.95,0,-1.8910263247719674,0.5379608256515253,medium,0.02,300,PRUNED
30,30,0.008989828144433682,2021-05-03 18:42:07.893729,2021-05-03 18:47:33.561843,0 days 00:05:25.668114,128,10000,0.9,1000,-0.7787467064544505,0.002917697471821269,medium,0.05,100,PRUNED
31,31,0.026446521115833673,2021-05-03 18:47:33.562096,2021-05-03 18:52:53.945815,0 days 00:05:20.383719,64,10000,0.999,0,-0.3534011722424231,0.00895752025539572,medium,0.005,300,PRUNED
